,name,name of the alias that is used to play this sound (required)
,sequence,"used to uniquely identify alias entries when more than one sound goes to an alias, used only to catch unwanted duplicates (default = 0)"
,file,the name of the file that contains the sound data (required)
,vol_min,"0 is silent, 1 is full volume (default = 1)"
,vol_max,"0 is silent, 1 is full volume (default = same as vol_min)"
,pitch_min,"1 is normal playback, 2 is twice as fast, 0.5 is half as fast (default = 1)"
,pitch_max,"1 is normal playback, 2 is twice as fast, 0.5 is half as fast (default = same as pitch_min)"
,dist_min,"within this distance in inches, the sound is always full volume (default = 120)"
,dist_max,"outside this distance in inches, the sound is not started.  If left blank or set to 0, the sound will play from any distance.  This does not affect sound volume falloff."
,channel,"auto, menu, weapon, voice, item, body, local, music, announcer (default = auto)"
,type,streamed / loaded (default = loaded)
,probability,weight to use for the weighted probability of playing this sound instead of another sound (default = 1)
,loop,"whether this sound is ""looping"" or ""nonlooping"" (default = ""nonlooping"")"
,masterslave,"if ""master"", this is a master sound.  If a number, then this sound won't exceed this volume whenever any master sound is playing.  If blank, then neither master nor slave."
,loadspec,"space-separated list of which maps should use this alias; eg, ""burnville dawnville"".  If blank, the alias is used on all maps."

name,sequence,file,vol_min,vol_max,pitch_min,pitch_max,dist_min,dist_max,channel,type,probability,loop,masterslave,loadspec,subtitle, , , , , , , 

null,1,null.wav,,,,,,,,,,,,,,,,,,,,

#Ambient Play,,,,,,,,,,,,,,,,,,,,,,
ambient_rocksong1,,ambient/rocksong1.mp3,1,1,1,1,,,local,streamed,,looping,,,,,,,,,,

#other,,,,,,,,,,,,,,,,,,,,,,
ocean2,,misc/ocean2.mp3,1,1,1,1,900,1400,auto,streamed,,looping,,,,,,,,,,
redcoat1,,misc/redcoat1.mp3,1,1,1,1,40,50,auto,streamed,,nonlooping,,,,,,,,,,

boom1,,explosions/mortar_impact_water_2c.wav,0.7,0.8,1,1,1000,5000,auto,streamed, ,nonlooping,,,,,,,,,,
boom2,,explosions/mortar_impact_water_2c.wav,0.7,0.8,1,1,1000,5000,auto,streamed, ,nonlooping,,,,,,,,,,

boom4,,misc/mrk_rocket_hook_layer_2.wav,0.7,0.8,1,1,1000,5000,auto,streamed, ,nonlooping,,,,,,,,,,
boom3,,explosions/explo_distant01.wav,0.7,0.8,1,1,1000,5000,auto,streamed, ,nonlooping,,,,,,,,,,








,,,,,,,,,,,,,,,,,,,, 
